"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"427","E10bGDN",0,0,0,0,1
"428","E10bGFV",0,0,0,0,1
"429","E10bGMH",0,0,0,0,1
"430","E10bGSN",75,80,83,56,1
"431","E10bGTL",0,0,0,0,1
"432","E10bGYP",67,73,53,45,1
"433","E10bIFF",29,15,20,18,1
"434","E10bIMN",1,2,3,1,1
"435","E10bIVO",0,0,0,0,1
"436","E10bIXJ",28,23,30,26,1
"437","E10bJFX",0,0,0,0,1
"438","E10bJLF",0,0,0,0,1
"439","E10bJNY",0,0,0,0,1
"440","E10bJTJ",0,0,0,0,1
"441","E10bJVK",16,30,11,17,1
"442","E10bKBF",0,0,0,0,1
"443","E10bKGF",0,0,0,0,1
"444","E10bKJN",39,33,20,33,1
"445","E10bKSO",21,24,28,28,1
"446","E10bKVT",0,0,0,0,1
"447","E10bKZX",0,0,0,0,1
"448","E10bLCS",2,1,0,1,1
"449","E10bLEJ",0,0,0,0,1
"450","E10bLFS",14,23,15,15,1
"451","E10bLQF",0,0,0,0,1
"452","E10bLQI",0,0,0,0,1
"453","E10bLQS",0,0,0,0,1
"454","E10bLUW",0,0,0,0,1
"455","E10bLYR",0,0,0,0,1
"456","E10bMFI",0,0,0,0,1
"457","E10bMHK",0,0,0,0,1
"458","E10bMSM",0,0,0,0,1
"459","E10bMTZ",4,4,3,3,1
"460","E10bMVN",0,0,0,0,1
"461","E10bNED",0,0,0,0,1
"462","E10bNJY",0,0,0,0,1
"463","E10bNPL",0,0,0,0,1
"464","E10bNVX",0,0,0,0,1
"465","E10bOET",0,0,0,0,1
"466","E10bOKS",0,0,0,0,1
"467","E10bOPZ",0,0,0,0,1
"468","E10bOVS",0,0,0,0,1
"469","E10bOZK",0,0,0,0,1
"470","E10bPNK",0,0,0,0,1
"471","E10bPON",0,0,0,0,1
"472","E10bPSW",37,31,36,36,1
"473","E10bPZH",0,0,0,0,1
"474","E10bQBG",0,0,0,0,1
"475","E10bQFC",0,0,0,0,1
"476","E10bQJO",0,0,0,0,1
"477","E10bQPC",0,0,0,0,1
"478","E10bQSC",0,0,0,0,1
"479","E10bQSC.1",102,100,91,105,1
"480","E10bQTG",0,0,0,0,1
"481","E10bQUT",0,0,0,0,1
"482","E10bQUW",0,0,0,0,1
"483","E10bQYU",0,0,0,0,1
"484","E10bRFH",0,0,0,0,1
"485","E10bRJY",11,5,9,13,1
"486","E10bRMO",23,17,20,25,1
"487","E10bRVA",0,0,0,0,1
"488","E10bSBP",0,0,0,0,1
"489","E10bSDV",29,18,31,28,1
"490","E10bSLC",0,0,0,0,1
"491","E10bSLN",40,32,34,35,1
"492","E10bSOB",0,0,0,0,1
"493","E10bSTP",0,0,0,0,1
"494","E10bSZL",0,0,0,0,1
"495","E10bSZV",0,0,0,0,1
"496","E10bSZX",0,0,0,0,1
"497","E10bTHK",0,0,0,0,1
"498","E10bTJP",3,5,6,17,1
"499","E10bTSD",0,0,0,0,1
"500","E10bUQM",0,0,0,0,1
"501","E10bUTC",0,0,0,0,1
"502","E10bUZM",0,0,0,0,1
"503","E10bUZY",0,0,0,0,1
"504","E10bUZZ",40,32,43,27,1
"505","E10bVIV",2,1,1,2,1
"506","E10bVKD.1",0,0,0,0,1
"507","E10bVKF",0,2,1,2,1
"508","E10bVLS",0,0,0,0,1
"509","E10bVMB",0,0,0,0,1
"510","E10bVMF",0,0,0,0,1
"511","E10bVSN",0,0,0,0,1
"512","E10bVVZ",0,0,0,0,1
"513","E10bVWS",0,0,0,0,1
"514","E10bVXC",0,0,0,0,1
"515","E10bVXW",0,0,0,0,1
"516","E10bWDE",0,0,0,0,1
"517","E10bWDE.1",0,0,0,0,1
"518","E10bWFI",0,0,0,0,1
"519","E10bWMA",0,0,0,0,1
"520","E10bWMB",0,1,1,1,1
"521","E10bWPM",0,0,0,0,1
"522","E10bWQO",0,0,0,0,1
"523","E10bWYZ",0,0,0,0,1
"524","E10bXCZ",0,0,0,0,1
"525","E10bXES",84,80,67,90,1
"526","E10bXHF",0,0,0,0,1
"527","E10bXOY",19,22,23,18,1
"528","E10bXTF",0,0,0,0,1
"529","E10bXZZ",0,0,0,0,1
"530","E10bYFC",0,0,0,0,1
"531","E10bYFN",0,0,0,0,1
"532","E10bYQD",0,0,0,0,1
"533","E10bYSJ",0,0,0,0,1
"534","E10bYXX",0,0,0,0,1
"535","E10bYZU",0,0,0,0,1
"536","E10bZAD",0,0,0,0,1
"537","E10bZAK",13,28,21,20,1
