"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"36","LM0362","P4aDTP","P4",39.64,51.1,77.573385518591,0.41,8,"primary"
"37","LM0350","P4aDUE","P4",NA,54.5,NA,NA,9,"primary"
"38","LM0356","P4aDYE","P4",37.78,40.7,92.8255528255528,1.29,7,"primary"
"39","LM0354","P4aDYG","P4",41.57,45,92.3777777777778,3.22,10,"primary"
"40","LM0360","P4aEAQ","P4",36.15,42.1,85.8669833729216,0.18,6,"primary"
"41","LM0353","P4aEBU","P4",41.47,45.1,91.9512195121951,3.04,10,"primary"
"42","LM0360","P4aECQ","P4",NA,42.1,NA,NA,10,"primary"
"43","LM0365","P4aEDT","P4",58.41,59.2,98.6655405405405,2.15,9,"primary"
"44","LM0359","P4aEER","P4",40.96,46.7,87.7087794432548,2.2,11,"primary"
"45","LM0359","P4aEJC","P4",43.03,46.7,92.1413276231263,0.61,2,"primary"
"46","LM0354","P4aENX","P4",42.09,45,93.5333333333334,2.13,9,"primary"
"47","LM0366","P4aEOB","P4",45.14,48.1,93.8461538461538,1.32,7,"primary"
"48","LM0349","P4aEOW","P4",44.81,50.5,88.7326732673267,1.92,4,"primary"
"49","LM0355","P4aERQ","P4",43.56,43.9,99.2255125284738,1.55,3,"primary"
"50","LM0357","P4aETM","P4",41.82,42.8,97.7102803738318,1.64,1,"primary"
"51","LM0363","P4aETW","P4",39.58,46.7,84.7537473233405,1.17,7,"primary"
"52","LM0362","P4aEUW","P4",NA,51.1,NA,NA,11,"primary"
"53","LM0359","P4aEVI","P4",41.93,46.7,89.7858672376874,1.65,6,"primary"
"54","LM0364","P4aEVZ","P4",41.6,41.6,100,NA,0,"primary"
"55","LM0356","P4aEWQ","P4",39.42,40.7,96.8550368550369,1.98,6,"primary"
"56","LM0354","P4aEWR","P4",40.88,45,90.8444444444445,2.34,7,"primary"
"57","LM0356","P4aEXA","P4",34.55,40.7,84.8894348894349,1.12,9,"primary"
"58","LM0351","P4aEZC","P4",43.6,43.6,100,NA,0,"primary"
"59","LM0363","P4aFCS","P4",42.13,46.7,90.2141327623126,0.99,5,"primary"
"60","LM0352","P4aFDT","P4",40.24,40.6,99.1133004926108,2.52,8,"primary"
"61","LM0364","P4aFFH","P4",40.53,41.6,97.4278846153846,1.44,1,"primary"
"62","LM0353","P4aFFO","P4",40.67,45.1,90.1773835920177,1.84,4,"primary"
"63","LM0354","P4aFGV","P4",42.2,45,93.7777777777778,2.98,8,"primary"
"64","LM0349","P4aFNW","P4",50.5,50.5,100,NA,0,"primary"
"65","LM0361","P4aFOM","P4",37.42,46.1,81.1713665943601,0.3,6,"primary"
"66","LM0354","P4aFQG","P4",45,45,100,NA,0,"primary"
"67","LM0349","P4aFST","P4",48.05,50.5,95.1485148514852,2.79,1,"primary"
"68","LM0361","P4aFTM","P4",39.36,46.1,85.3796095444685,2.23,9,"primary"
"69","LM0359","P4aFXB","P4",40.73,46.7,87.2162740899358,2.37,8,"primary"
"70","LM0359","P4aGAQ","P4",42.69,46.7,91.4132762312634,0.93,3,"primary"
"71","LM0348","P4aGAU","P4",35.53,44.4,80.0225225225225,0.29,6,"primary"
"72","LM0365","P4aGAV","P4",57.94,59.2,97.8716216216216,2.24,7,"primary"
"73","LM0348","P4aGCN","P4",NA,44.4,NA,NA,8,"primary"
"74","LM0353","P4aGDW","P4",45.1,45.1,100,NA,0,"primary"
"75","LM0364","P4aGEH","P4",43.65,41.6,104.927884615385,2.34,7,"primary"
"76","LM0355","P4aGFH","P4",45.33,43.9,103.257403189066,1.6,11,"primary"
"77","LM0364","P4aGSL","P4",41.45,41.6,99.6394230769231,1.77,3,"primary"
"78","LM0359","P4aGTB","P4",42.35,46.7,90.6852248394004,1.04,4,"primary"
"79","LM0350","P4aGUJ","P4",NA,54.5,NA,NA,8,"primary"
"80","LM0350","P4aGWH","P4",NA,54.5,NA,NA,10,"primary"
"81","LM0354","P4aGZU","P4",42.05,45,93.4444444444445,1.98,11,"primary"
"82","LM0349","P4aHBW","P4",47.76,50.5,94.5742574257426,1.86,2,"primary"
"83","LM0351","P4aHDF","P4",NA,43.6,NA,NA,10,"primary"
