,EH_ID,CASP1,CXCL9,CXCR3,GAPDH,IDO1,IFNG,IL10,IL12A,IL13,IL1RN,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PPIB,PRF1,RETNLB,SOCS1,TICAM1,TNF,IL6,IL17A
302,AA0796,20.5808531918346,20.5802305607857,21.2544087548421,4.26344683437033,9.29106844092913,12.007836242842,NA,15.9659729118871,9.38580429874425,10.2623004031163,11.2122242968433,15.8457043897738,9.11363132460897,9.63267616712994,19.2491245226578,22.6861532402068,15.5483646951092,NA,7.8271432502083,11.4628379134699,NA,21.2105579882104,26.0790348869004,15.0428327712957
303,AA0797,20.0668952418036,19.0781786303609,NA,3.79409668077245,15.3616899528197,24.5845724537835,22.9685445711985,19.9633495311133,19.0586023060662,13.4188650629945,8.46731860087159,16.6401280041458,6.03465935595707,6.62505722656707,7.47757794612136,NA,16.724063931994,25.4973355843299,8.08983046449352,10.574043023198,20.0979852147151,20.4020785056927,19.8357432351409,22.77287384997
304,AA0798,21.7949305564768,20.9231370691426,20.5394850271889,3.45927564308609,15.2293821300463,18.2991053214452,NA,20.6254479856347,7.21135286919671,13.4870259952046,8.02454533557944,16.0169944844274,7.05111495298353,7.41653158119073,24.6546243002605,25.4281541508497,19.6431374434552,NA,7.96071274808915,8.90960175637075,NA,20.2868764844716,22.4715220706276,19.9426010896349
305,AA0800,NA,21.3761072498663,21.0945313368896,4.383152308787,12.1583281258922,26.3824928325207,NA,18.7306893902081,9.98248435294327,10.5194061197026,9.97903940709518,15.8402242873309,8.05168889598374,8.22297019168128,19.396653816866,24.8175349890723,15.5483646951092,22.6726335440824,NA,10.7618894693172,21.6303954234683,21.0442637426058,22.8193440030927,27.6679525706704
306,AA0801,19.6407365600837,18.0048281349502,NA,4.17066709725125,14.515188563711,21.2106241498872,21.8277088707179,19.5319010791676,18.4472395391868,13.7324099484059,8.1408536853113,17.3923863326616,6.77712774842296,7.07828456956708,8.29581601225695,NA,16.724063931994,26.770483144858,8.26237632680834,10.7688646044302,19.4679901902433,19.5180221424599,21.1028754609663,23.0280257600119
307,AA0802,21.3622624913585,15.6272545670654,NA,4.23062644215092,9.68925163050736,16.9607538096174,22.1543682891423,16.1237929551564,15.1945511418409,9.08031148307703,8.86550954749739,14.0620222467201,7.46433033019998,7.74623839509368,7.87754098227582,NA,16.724063931994,22.3772235550821,7.15438225754543,10.4951467912655,15.7775259595509,18.9016899173319,18.0925123637632,20.7996718755882
308,AA0803,NA,20.8372976834026,20.6225375811664,3.29558551407915,20.199679927482,25.5782036158168,NA,23.0763521162022,10.4824252787636,18.720750374823,8.51325103972721,24.6141409166909,6.49221096173103,8.65468810104354,18.8058982162103,24.3958158895905,12.1508990153124,23.8611966919878,NA,10.0355820193125,20.1278694182986,26.6153941820874,20.9340275920618,24.5990997433658
309,AA0804,NA,16.2702321718783,20.9965493463118,2.87991141520471,17.3892525581978,19.8860308247619,NA,22.2493763764844,8.57572048187614,17.8160838459969,8.34250033765953,19.7147310536561,6.54339443476611,7.5181924002803,19.2473878135607,22.3571332048664,12.1508990153124,26.3316245915434,NA,9.07469462346259,21.1975735614715,22.1190139115295,19.3242286244778,28.2250179151997
310,AA0805,NA,20.9835217357188,20.7659428401659,2.74461419657443,19.7350800907764,26.2553635102925,NA,21.8577062509155,8.56555680132237,16.3683279001101,6.40831891704441,23.236808919041,5.36650611958922,6.96664749876011,18.3918913429338,22.4203727047553,10.1508990153124,23.127042676991,NA,7.46930886714786,19.3367871989312,24.5871115218135,25.5474888405135,25.4246173355388
311,AA0806,NA,22.1989023796412,22.2111909669075,4.53799472153491,15.1151507998692,22.7602231536972,NA,21.4772803544104,9.61706278978424,10.8787838597419,9.22663878064586,16.5641053438308,8.234403363368,8.30210905653395,19.6646521224696,23.500503830254,11.1508990153124,23.9215162276816,NA,9.96187101500583,22.7681499216713,21.6889750044335,NA,27.720679931448
